rezagos,F_EMBI_causa_dpb,p_EMBI_causa_dpb,F_dpb_causa_EMBI,p_dpb_causa_EMBI
1,0.2584178856297483,0.6125576721183511,0.45312695671505,0.5027237723717815
2,0.3713011177154684,0.691018694062138,1.885342800191493,0.15845891809595644
3,0.19222187841391158,0.9013986069531477,1.3908223443868375,0.25196357077904924
4,1.6202281441302095,0.17814200197940958,0.9673332090234297,0.43063442237183724
