Horizonte_Trimestres,Variable_Explicada,Shock_g_gap,Shock_pb_pib,Shock_EMBI,Shock_TCRM,Shock_deuda_pib
20,g_gap,65.69,14.96,8.03,1.64,9.68
20,pb_pib,41.42,53.49,0.69,0.33,4.07
20,EMBI,15.0,15.6,34.41,9.58,25.41
20,TCRM,18.11,22.58,7.44,37.81,14.07
20,deuda_pib,7.67,11.7,12.66,14.82,53.15
