Date,deuda_pib,pasivos_bcra_pib,deuda_consolidada_pib
2004-03-31,119.0,2.724270722124088,121.72427072212409
2004-06-30,112.0,2.960494106102581,114.96049410610259
2004-09-30,108.0,3.688068790995532,111.68806879099553
2004-12-31,102.0,4.024319400541716,106.02431940054171
2005-03-31,78.0,4.133615792265018,82.13361579226502
2005-06-30,72.0,5.025059660869372,77.02505966086937
2005-09-30,69.0,5.747553714347149,74.74755371434715
2005-12-31,65.0,5.458152323999841,70.45815232399984
2006-03-31,63.0,4.77964545095665,67.77964545095665
2006-06-30,61.0,5.041833126378058,66.04183312637805
2006-09-30,59.0,5.5898845551719765,64.58988455517198
2006-12-31,57.0,5.381597870356479,62.38159787035648
2007-03-31,56.0,6.998689913636889,62.99868991363689
2007-06-30,55.0,7.0944847090825895,62.09448470908259
2007-09-30,53.0,6.66882566687926,59.66882566687926
2007-12-31,52.0,5.30932958440946,57.30932958440946
2008-03-31,52.0,6.123754453301427,58.12375445330143
2008-06-30,51.0,4.41500390521748,55.41500390521748
2008-09-30,50.0,5.119658339480824,55.11965833948082
2008-12-31,49.0,3.870100544553702,52.8701005445537
2009-03-31,51.0,4.661211089945161,55.66121108994516
2009-06-30,52.0,3.736901165171322,55.736901165171325
2009-09-30,51.0,4.100305216815434,55.100305216815435
2009-12-31,50.0,3.8155363046694513,53.81553630466945
2010-03-31,49.0,4.141640817632517,53.14164081763252
2010-06-30,47.0,4.21827850975477,51.21827850975477
2010-09-30,46.0,4.612412801287007,50.61241280128701
2010-12-31,44.0,4.641182794482725,48.641182794482724
2011-03-31,43.0,5.406370821178526,48.40637082117853
2011-06-30,42.0,4.3947500108704105,46.39475001087041
2011-09-30,41.0,3.9156409110932735,44.91564091109328
2011-12-31,40.0,3.395410545020141,43.39541054502014
2012-03-31,42.0,4.201641256918129,46.20164125691813
2012-06-30,43.0,3.82320827923312,46.82320827923312
2012-09-30,43.0,3.727890157192608,46.72789015719261
2012-12-31,44.0,3.314538907998336,47.31453890799833
2013-03-31,44.0,3.576797668131264,47.57679766813126
2013-06-30,45.0,3.312876748838489,48.31287674883849
2013-09-30,45.0,3.6239287994267055,48.62392879942671
2013-12-31,46.0,2.734126452715618,48.73412645271562
2014-03-31,47.0,4.029253401560545,51.029253401560545
2014-06-30,48.0,3.897904332641324,51.897904332641325
2014-09-30,48.0,4.962284606599762,52.96228460659976
2014-12-31,49.0,5.077372327825493,54.07737232782549
2015-03-31,51.0,5.833631770302145,56.83363177030215
2015-06-30,52.0,5.433674685887463,57.43367468588746
2015-09-30,53.0,4.9863938537071135,57.98639385370711
2015-12-31,54.0,4.961096504727588,58.961096504727585
2016-03-31,56.0,6.425971304404587,62.425971304404584
2016-06-30,58.0,6.639078377846011,64.639078377846
2016-09-30,60.0,7.731176080808197,67.7311760808082
2016-12-31,62.0,7.461204093531153,69.46120409353115
2017-03-31,63.0,9.405264578758816,72.40526457875882
2017-06-30,64.0,8.982584664321552,72.98258466432155
2017-09-30,65.0,9.56863610957054,74.56863610957055
2017-12-31,67.0,9.387879917647831,76.38787991764784
2018-03-31,69.0,10.612796998140071,79.61279699814007
2018-06-30,75.0,7.531358363881554,82.53135836388155
2018-09-30,82.0,5.062680312582326,87.06268031258233
2018-12-31,86.0,4.321603372343248,90.32160337234325
2019-03-31,83.0,5.382218834816984,88.38221883481698
2019-06-30,83.0,5.275667845378719,88.27566784537872
2019-09-30,85.0,5.797353499018469,90.79735349901847
2019-12-31,89.0,4.674684495556964,93.67468449555696
2020-03-31,88.0,5.107878434902598,93.1078784349026
2020-06-30,96.0,9.879301739622443,105.87930173962245
2020-09-30,97.0,9.10275441079368,106.10275441079368
2020-12-31,97.0,8.642142863115353,105.64214286311535
2021-03-31,85.0,8.920672028441794,93.9206720284418
2021-06-30,83.0,7.907727107578073,90.90772710757807
2021-09-30,81.0,8.739768167331903,89.7397681673319
2021-12-31,80.0,8.657460538141454,88.65746053814145
2022-03-31,81.0,7.846775150396512,88.84677515039651
2022-06-30,79.0,8.303173797496498,87.3031737974965
2022-09-30,78.0,9.401598834137651,87.40159883413764
2022-12-31,81.0,9.302199024653955,90.30219902465396
2023-03-31,82.0,9.544164432028031,91.54416443202803
2023-06-30,81.0,9.43878356890195,90.43878356890195
2023-09-30,82.0,9.82057115829131,91.82057115829132
2023-12-31,90.0,9.109099337814602,99.1090993378146
2024-03-31,84.0,7.304465817513008,91.304465817513
2024-06-30,79.0,2.8643308476345,81.8643308476345
2024-09-30,77.0,0.0001574210094834,77.00015742100949
2024-12-31,75.0,-0.0500938906529958,74.949906109347
2025-03-31,73.0,-0.0166772804806462,72.98332271951935
2025-06-30,72.0,0.0093306886662014,72.0093306886662
2025-09-30,71.0,0.0139578084382671,71.01395780843826
2025-12-31,70.0,0.0111916615750123,70.01119166157501
