Componente,kappa_xi,theta_xi_pb,sigma_xi,half_life_anios,kappa_chi,theta_chi_pb,sigma_chi
Transitorio (Global),2.1,361.29,18.8422,0.33,,,
Estructural (Local),,,,3.15,0.22,670.96,14.8046
