especificacion,regresor,VIF,num_condicion
DOLS (nucleo de Bohn),d_t_1,1.0198721453023734,1.1508557912111934
DOLS (nucleo de Bohn),g_gap,1.0198721453023731,1.1508557912111934
Ampliada (Bohn + EMBI + TCRM),d_t_1,3.815661819092707,3.8361478253031094
Ampliada (Bohn + EMBI + TCRM),g_gap,1.1131517878133492,3.8361478253031094
Ampliada (Bohn + EMBI + TCRM),EMBI,1.218202918570061,3.8361478253031094
Ampliada (Bohn + EMBI + TCRM),TCRM,3.6889022929835997,3.8361478253031094
