,n,rho,se,p,r2
2004-2014,43.0,0.03730981671769929,0.011754161286027952,0.0015026078171601772,0.3527735530274171
2015-2025,44.0,0.05300002188527099,0.017606107703668626,0.0026097239784189505,0.1823384220405565
