Date,g_gap_HP,ciclo_Hamilton
2006-12-31,-1.507990403944615,-4.321892760094226
2007-03-31,-2.165075480598007,-4.935184983254448
2007-06-30,12.935782186553876,1.1356284125151106
2007-09-30,0.9419315538440376,1.1149991564153083
2007-12-31,2.307686779583505,1.3195357008969566
2008-03-31,-0.2791223900699083,-1.6082023328888084
2008-06-30,13.859806964227053,4.467805423518634
2008-09-30,2.5722718114549994,2.488817158553225
2008-12-31,-3.6412104205611153,-4.822492009940582
2009-03-31,-9.928632556685113,-11.241048691069366
2009-06-30,-2.576117026150189,-11.784314434191856
2009-09-30,-6.559988608442012,-6.650070601334512
2009-12-31,-6.618246303751827,-8.47932414882262
2010-03-31,-7.918506458335759,-8.23571618925012
2010-06-30,9.597187578194369,1.2525027206645056
2010-09-30,-0.8920321183707888,-0.1820331361090055
2010-12-31,-1.6621806772011922,1.9754419286266867
2011-03-31,-3.189380392030814,3.4179800221488144
2011-06-30,11.300563762309771,11.760905275425149
2011-09-30,2.721531849566789,7.558842829928736
2011-12-31,0.9740807469388169,5.711853912401477
2012-03-31,-3.850958404644764,1.589874966152216
2012-06-30,4.010477359105933,-1.1940768142162383
2012-09-30,-0.2677383942931001,3.3910168097721183
2012-12-31,-0.1067612626433557,3.0344775264175894
2013-03-31,-4.6032239844944725,-1.2049876027302453
2013-06-30,9.135409954013811,3.6015761973022364
2013-09-30,1.2010092792089648,2.9685186852581147
2013-12-31,-1.0380378671564705,0.9006401648872675
2014-03-31,-6.126086044634133,-2.1210710850215975
2014-06-30,6.3036679525471495,4.7333350019373555
2014-09-30,-3.489655965404366,-1.4105513079203824
2014-12-31,-4.097921039294736,-2.6174083604027842
2015-03-31,-6.0458358014323546,-2.167859260304894
2015-06-30,10.53176661963726,5.138086788793039
2015-09-30,0.3990351325174249,1.8884827724110487
2015-12-31,-1.555628004564811,0.41370810576930594
2016-03-31,-5.08898371273279,-0.8929498899271415
2016-06-30,6.691410393811066,2.2955074456807445
2016-09-30,-2.448443750976636,0.788386469304303
2016-12-31,-2.4324660289823274,-0.07387521312214318
2017-03-31,-3.877546733280578,-1.0306385928215533
2017-06-30,10.061325285820413,2.195822611617526
2017-09-30,2.2339630539917548,2.8481680195519665
2017-12-31,3.025326325440425,3.58648425017023
2018-03-31,0.8828518601880065,2.7058876011126998
2018-06-30,6.948672966802703,0.6666690202498771
2018-09-30,-0.0661042640291983,0.7640753385558696
2018-12-31,-2.25356461306416,-2.690926006040595
2019-03-31,-3.802344177948257,-3.966383810202423
2019-06-30,8.918246977140086,-0.0726364728958373
2019-09-30,-0.6736456578382389,-2.9123396397281454
2019-12-31,-2.3038620148783195,-5.819423446714556
2020-03-31,-7.852551075006664,-10.615512302770558
2020-06-30,-11.153470144716811,-17.94742312292037
2020-09-30,-10.472524121216669,-12.077301147217945
2020-12-31,-6.458047663999725,-6.95219028390186
2021-03-31,-5.109114240061133,-4.8364916934716895
2021-06-30,4.9112461359389545,-2.2141369106489783
2021-09-30,-0.7078142355975403,0.13796247197603861
2021-12-31,0.3185888533353476,1.54054230464844
2022-03-31,0.1782623446185181,4.703445282813945
2022-06-30,11.929683009054878,17.533404627979277
2022-09-30,4.432872341373309,9.771739912357713
2022-12-31,1.215352166000053,4.361806427462156
2023-03-31,-0.3961902708935786,2.8991845912811343
2023-06-30,4.043017562008706,1.7679253705280118
2023-09-30,2.3104623253932326,5.20048474864625
2023-12-31,-1.988957008765794,-0.054614608269076825
2024-03-31,-6.866040141810298,-4.952459869209402
2024-06-30,1.337352241096888,-2.9490155788571393
2024-09-30,-1.2212943398225544,0.6153571915359812
2024-12-31,-0.8973281268376428,2.344035341053008
2025-03-31,-2.728778789447345,0.9067919764749632
2025-06-30,6.218829348833445,7.038248235860145
2025-09-30,0.2991566033563804,3.217307840197403
2025-12-31,-0.3667248083647144,5.2812856669159025
