,Shock_g_gap,Shock_pb_pib,Shock_EMBI,Shock_TCRM,Shock_deuda_pib
g_gap,4.916108000573342,0.0,0.0,0.0,0.0
pb_pib,4.670302600544675,4.669677985368717,0.0,0.0,0.0
EMBI,-750.6800243324645,-776.0504982418086,472.96876815759674,0.0,0.0
TCRM,0.10630930693468912,0.11670130307175718,-0.005821755247386813,0.08410695369337022,0.0
deuda_pib,-11.008272144415404,-11.019100376727698,-0.43436872431861207,0.592950269682407,2.5654000788283167
