Horizonte_Trimestres,Variable_Explicada,Shock_g_gap,Shock_pb_pib,Shock_EMBI,Shock_TCRM,Shock_deuda_pib
1,g_gap,100.0,0.0,0.0,0.0,0.0
1,pb_pib,50.01,49.99,0.0,0.0,0.0
1,EMBI,40.56,43.34,16.1,0.0,0.0
1,TCRM,35.29,42.52,0.11,22.09,0.0
1,deuda_pib,48.53,48.62,0.08,0.14,2.64
4,g_gap,54.2,44.11,0.43,0.02,1.23
4,pb_pib,49.59,50.33,0.02,0.03,0.03
4,EMBI,43.0,46.74,10.01,0.09,0.16
4,TCRM,42.52,41.6,0.2,15.58,0.09
4,deuda_pib,47.09,50.8,0.15,0.04,1.91
8,g_gap,53.61,44.81,0.4,0.04,1.13
8,pb_pib,49.45,50.34,0.05,0.08,0.08
8,EMBI,44.25,48.76,6.62,0.07,0.3
8,TCRM,40.53,39.54,0.2,19.54,0.19
8,deuda_pib,46.8,51.17,0.38,0.05,1.59
12,g_gap,53.42,45.06,0.39,0.05,1.09
12,pb_pib,49.39,50.27,0.08,0.13,0.14
12,EMBI,44.93,49.48,5.08,0.06,0.45
12,TCRM,38.93,37.98,0.28,22.37,0.44
12,deuda_pib,46.86,51.19,0.42,0.19,1.34
20,g_gap,53.34,45.16,0.38,0.05,1.07
20,pb_pib,49.31,50.18,0.12,0.16,0.22
20,EMBI,45.45,49.87,4.03,0.2,0.45
20,TCRM,37.55,36.83,0.6,23.87,1.15
20,deuda_pib,46.86,51.04,0.37,0.64,1.09
