Date,rho_pb-g,rho_pb-delta_e,rho_g-delta_e
2005-03-31,0.11008920429417308,0.20487944889628334,-0.16557111787959136
2005-06-30,0.11008880928918441,0.20487947809818252,-0.1655711580353088
2005-09-30,0.11009081317656765,0.2048791188228356,-0.16557121094162705
2005-12-31,0.11008892006980002,0.20487943389108262,-0.16557106789087658
2006-03-31,0.11008973147131114,0.20487956948629282,-0.16557081328997486
2006-06-30,0.11008884390689322,0.2048793765152751,-0.1655708711536355
2006-09-30,0.11008959042007785,0.2048793800855358,-0.16557110893501711
2006-12-31,0.11008871537272033,0.20487944027850716,-0.16557098670093506
2007-03-31,0.11008982920376094,0.2048793391919564,-0.165571139421363
2007-06-30,0.11008792246414335,0.20487932431684214,-0.165571052009053
2007-09-30,0.1100884333227054,0.20487944922395318,-0.16557107353741393
2007-12-31,0.1100888793693098,0.20487949131440866,-0.16557122390661883
2008-03-31,0.11008883722659599,0.2048794249324805,-0.16557095858091742
2008-06-30,0.11008872330047796,0.20487940964610685,-0.16557105202836694
2008-09-30,0.11008880478746862,0.20487955212829106,-0.1655712513697657
2008-12-31,0.11008872182471792,0.20487961813370525,-0.16557138625734202
2009-03-31,0.11008933227940428,0.20487969521606897,-0.16557090704870708
2009-06-30,0.11009083567496672,0.20487876246246572,-0.16557123889059355
2009-09-30,0.1100894720719313,0.20487931895141062,-0.16557160448499583
2009-12-31,0.1100888248759421,0.20487956714209948,-0.1655712869087741
2010-03-31,0.1100892102274782,0.20487943198597572,-0.1655711193029679
2010-06-30,0.11009018875051145,0.204878759133188,-0.16557144365627227
2010-09-30,0.11008943321205528,0.2048793646948459,-0.1655713137118336
2010-12-31,0.11008872625758272,0.20487944534921773,-0.16557108535603132
2011-03-31,0.11008896295907748,0.20487945622367293,-0.16557110483534943
2011-06-30,0.11008935735877141,0.20487943662980332,-0.16557108039114996
2011-09-30,0.11008883359709522,0.20487938843600134,-0.16557108583953142
2011-12-31,0.11008897944702206,0.20487947822312236,-0.16557119966265102
2012-03-31,0.11008885406927597,0.20487957153569153,-0.1655713220525082
2012-06-30,0.11008909104581448,0.2048794466790477,-0.16557112234446963
2012-09-30,0.11008933798493992,0.20487950368687893,-0.16557077849770113
2012-12-31,0.11008927744562066,0.20487947588816127,-0.16557109098304187
2013-03-31,0.11008914603125153,0.2048794208429884,-0.16557111375276692
2013-06-30,0.11008913069475865,0.2048794032358663,-0.1655711049359428
2013-09-30,0.11008840103963208,0.2048794654288324,-0.16557103804839185
2013-12-31,0.11008928970671061,0.20487941664741458,-0.16557116202341754
2014-03-31,0.11008919138402161,0.2048793524170553,-0.16557111814562755
2014-06-30,0.11008927778922574,0.20487922266777955,-0.1655711979391292
2014-09-30,0.1100893886252879,0.20487945771944097,-0.16557105960270124
2014-12-31,0.11008891545432112,0.2048794079344876,-0.1655708111682328
2015-03-31,0.11008954009850201,0.20487959846484205,-0.16557084688489182
2015-06-30,0.11008917358477349,0.2048795441099412,-0.16557112828356102
2015-09-30,0.11008874115865021,0.20487949062223754,-0.16557118885973385
2015-12-31,0.1100888009767786,0.20487951797125756,-0.1655712653487789
2016-03-31,0.11008897543023774,0.20487944177455167,-0.16557110251057638
2016-06-30,0.11008923220560725,0.20487952478729804,-0.16557085260038987
2016-09-30,0.110088783061864,0.20487932186911226,-0.1655707402203154
2016-12-31,0.11008930975301705,0.2048794440587705,-0.16557107305349764
2017-03-31,0.11008925800610508,0.204879462636473,-0.16557107144521183
2017-06-30,0.11008926237066599,0.2048793857507903,-0.16557112495633045
2017-09-30,0.11008939607844492,0.20487937248107052,-0.16557119188312194
2017-12-31,0.1100889651579889,0.2048793848846333,-0.1655707150445479
2018-03-31,0.11008894736961872,0.204879467361571,-0.16557116566212746
2018-06-30,0.1100893069852329,0.20487948575511208,-0.16557082052971858
2018-09-30,0.11008870781671842,0.20487952750438918,-0.16557123889396555
2018-12-31,0.11008864774241316,0.20487979053737293,-0.16557151255360986
2019-03-31,0.11009000011019265,0.20487937088838665,-0.16557102518746786
2019-06-30,0.11008587165824323,0.20487842872876563,-0.16557089932091557
2019-09-30,0.110089231413571,0.2048794426688357,-0.16557111546677275
2019-12-31,0.11008913712331796,0.20487946571108187,-0.16557115240954517
2020-03-31,0.1100893359306436,0.20487933427968355,-0.16557113819598435
2020-06-30,0.11008971028474461,0.20487952791560798,-0.165570706713539
