variable,coeficiente,error_estandar,estadistico_z,p_valor
const,-1.0673404881154567,0.28987270006855387,-3.6821007561699823,0.00023131994911577167
g_gap,-0.0019020592647037294,0.012633407653546811,-0.15055789513526296,0.8803244774995572
d_low (EMBI <= tau),0.01837738240730118,0.005386079711103932,3.412014562171147,0.0006448466829046998
d_high (EMBI > tau),0.007746626919458297,0.0035770769431170634,2.165630497371379,0.030339433978736827
