subperiodo,especificacion,n,gl,rho,se,p
2004T1-2014T4,MCO estatico (HAC),43,,0.03730981671769929,0.011754161286027952,0.0015026078171601772
2004T1-2014T4,"DOLS (m=1, HAC)",40,34.0,0.03838332947727627,0.020660022937347904,0.06318959058987421
2004T1-2014T4,"DOLS (m=2, HAC)",38,30.0,0.060417627259136714,0.04092237503448541,0.13983763918993344
2015T1-2025T4,MCO estatico (HAC),44,,0.05300002188527099,0.017606107703668626,0.0026097239784189505
2015T1-2025T4,"DOLS (m=1, HAC)",41,35.0,0.03641412780194025,0.017521440874868448,0.03768532345109139
2015T1-2025T4,"DOLS (m=2, HAC)",39,31.0,0.035718878211108696,0.018287953209050904,0.05080336279779245
