segmento,inicio,fin,n_obs,media,std,serie
1,2004-03-31,2007-06-30,14,81.76054786691626,21.89993557003047,deuda_consolidada_pib
2,2007-09-30,2016-12-31,38,53.45527271294891,6.194402525296133,deuda_consolidada_pib
3,2017-03-31,2025-12-31,36,86.35731840720467,9.945338740276584,deuda_consolidada_pib
