fecha,pasivos_bcra_ars,pib_nominal_trim,pib_nominal_es_extrapolado,pasivos_bcra_pib
2004-03-31,11205.0,411302.7354074256,1,2.724270722124088
2004-06-30,13774.0,465260.17300987424,1,2.960494106102581
2004-09-30,17190.0,466097.59671429143,1,3.688068790995532
2004-12-31,19618.0,487486.1572210001,1,4.024319400541716
2005-03-31,21267.0,514489.03499439004,1,4.133615792265018
2005-06-30,29245.0,581983.1399761013,1,5.025059660869372
2005-09-30,33510.0,583030.6538301978,1,5.747553714347149
2005-12-31,33283.0,609785.1071992356,1,5.458152323999841
2006-03-31,30760.0,643562.3795870332,0,4.77964545095665
2006-06-30,36704.0,727989.1872654529,0,5.041833126378058
2006-09-30,40767.0,729299.4980062835,0,5.5898845551719765
2006-12-31,41049.0,762766.0220788831,0,5.381597870356479
2007-03-31,54197.0,774387.787840087,0,6.998689913636889
2007-06-30,64159.0,904350.3880960032,0,7.0944847090825895
2007-09-30,60960.0,914103.9674010072,0,6.66882566687926
2007-12-31,52832.0,995078.5529521112,0,5.30932958440946
2008-03-31,63219.0,1032356.8732563646,0,6.123754453301427
2008-06-30,53593.0,1213883.4109900985,0,4.41500390521748
2008-09-30,60601.0,1183692.2697100418,0,5.119658339480824
2008-12-31,45228.0,1168651.8083786804,0,3.870100544553702
2009-03-31,51847.0,1112307.4883229537,0,4.661211089945161
2009-06-30,46766.0,1251464.7279373782,0,3.736901165171322
2009-09-30,52063.0,1269734.7452694154,0,4.100305216815434
2009-12-31,51823.0,1358210.114173964,0,3.8155363046694513
2010-03-31,58764.0,1418857.949965618,0,4.141640817632517
2010-06-30,71123.0,1686066.9544585086,0,4.21827850975477
2010-09-30,79003.0,1712834.5489362031,0,4.612412801287007
2010-12-31,84893.0,1829124.2504156013,0,4.641182794482725
2011-03-31,102117.0,1888827.151847858,0,5.406370821178526
2011-06-30,98316.0,2237123.83541306,0,4.3947500108704105
2011-09-30,88121.0,2250487.2637924296,0,3.9156409110932744
2011-12-31,79441.0,2339658.163473388,0,3.3954105450201415
2012-03-31,98552.0,2345559.60335098,0,4.201641256918129
2012-06-30,101357.0,2651098.0463855537,0,3.8232082792331203
2012-09-30,100833.0,2704827.5498528937,0,3.7278901571926077
2012-12-31,94470.0,2850170.1932668164,0,3.314538907998336
2013-03-31,103333.0,2888980.8590707183,0,3.5767976681312637
2013-06-30,112234.0,3387810.912052487,0,3.312876748838489
2013-09-30,124538.0,3436546.5463808645,0,3.6239287994267064
2013-12-31,100613.0,3679895.635407356,0,2.734126452715618
2014-03-31,157852.0,3917648.8611727264,0,4.029253401560545
2014-06-30,183304.0,4702629.524921878,0,3.8979043326413243
2014-09-30,232508.0,4685503.11867981,0,4.962284606599762
2014-12-31,254405.0,5010564.196873761,0,5.077372327825493
2015-03-31,297089.0,5092693.740328637,0,5.833631770302145
2015-06-30,323384.0,5951478.855366603,0,5.433674685887463
2015-09-30,310240.0,6221730.755771596,0,4.9863938537071135
2015-12-31,325058.0,6552140.231302532,0,4.961096504727588
2016-03-31,450245.0,7006645.04510604,0,6.425971304404587
2016-06-30,558649.0,8414556.482179211,0,6.639078377846011
2016-09-30,659286.0,8527628.825278029,0,7.731176080808197
2016-12-31,668808.0,8963807.87358243,0,7.461204093531153
2017-03-31,869129.0,9240877.73099836,0,9.405264578758816
2017-06-30,948400.0,10558208.304643149,0,8.982584664321552
2017-09-30,1063690.0,11116422.317869298,0,9.56863610957054
2017-12-31,1100767.0,11725405.625723016,0,9.387879917647831
2018-03-31,1322120.0,12457790.347179033,0,10.612796998140071
2018-06-30,1086880.0,14431394.012697564,0,7.531358363881554
2018-09-30,773389.0,15276275.653390344,0,5.062680312582326
2018-12-31,726625.0,16813782.695796337,0,4.321603372343248
2019-03-31,941033.0,17484108.85697476,0,5.382218834816984
2019-06-30,1120212.0,21233558.154751204,0,5.2756678453787185
2019-09-30,1293035.0,22303884.00877951,0,5.797353499018469
2019-12-31,1178592.0,25212225.576296933,0,4.6746844955569635
2020-03-31,1276969.0,24999988.082612827,0,5.107878434902598
2020-06-30,2373538.0,24025361.939099044,0,9.879301739622443
2020-09-30,2506569.0,27536379.505392466,0,9.10275441079368
2020-12-31,2789470.0,32277527.046046093,0,8.642142863115353
2021-03-31,3281479.0,36785109.79372019,0,8.920672028441794
2021-06-30,3664463.0,46340281.47592877,0,7.907727107578073
2021-09-30,4148115.0,47462528.98909956,0,8.739768167331903
2021-12-31,4699998.0,54288413.782466695,0,8.657460538141454
2022-03-31,4735162.0,60345325.42659546,0,7.846775150396512
2022-06-30,6532685.0,78676963.28324091,0,8.303173797496498
2022-09-30,8260561.0,87863363.94194476,0,9.401598834137651
2022-12-31,9707266.0,104354529.22768565,0,9.302199024653955
2023-03-31,11521673.0,120719556.77267988,0,9.544164432028031
2023-06-30,15028040.0,159215855.4150243,0,9.43878356890195
2023-09-30,20281090.0,206516399.8417453,0,9.82057115829131
2023-12-31,25795255.0,283181180.0856772,0,9.109099337814602
2024-03-31,30932370.0,423472034.4071884,0,7.304465817513008
2024-06-30,16038488.0,559938388.8647271,0,2.8643308476344997
2024-09-30,1012.0,642862095.294979,0,0.0001574210094834789
2024-12-31,-355349.0,709365943.3672847,0,-0.05009389065299585
2025-03-31,-223217.0,1338449636.6721194,1,-0.016677280480646248
2025-06-30,165132.0,1769772906.453924,1,0.009330688666201434
2025-09-30,283604.0,2031866257.9037974,1,0.01395780843826719
2025-12-31,250924.0,2242062077.3615847,1,0.011191661575012344
