Date,VIX,BOVESPA_VOL
1996-03-31,15.398253804161435,29.139910514538574
1996-06-30,16.368254010639493,22.546950705455345
1996-09-30,16.778437554836273,23.927209266446027
1996-12-31,17.206249967217445,15.5053126230742
1997-03-31,19.909180187788166,27.003090275184356
1997-06-30,19.922968864440918,21.817414168837495
1997-09-30,22.444999992847443,52.915609451629706
1997-12-31,27.12140640616417,69.08290740556768
1998-03-31,21.32459012015921,28.265065608917432
1998-06-30,21.534285651312935,43.391675955810044
1998-09-30,29.75171872973442,79.26346303344015
1998-12-31,29.537187546491623,64.79921238123593
1999-03-31,27.252786949032643,81.26115432535951
1999-06-30,24.395555647592698,32.88908528058742
1999-09-30,23.32062491774559,23.904808079676993
1999-12-31,22.658281236886978,23.443404031527596
2000-03-31,23.150317449418324,34.02110098371371
2000-06-30,24.9239683302622,37.884994323424124
2000-09-30,19.169047673543293,26.63171214450624
2000-12-31,26.016666624281143,33.12877773212379
2001-03-31,25.726451750724546,32.00614038051825
2001-06-30,23.9238095056443,30.996708638087263
2001-09-30,25.380338992102672,33.314659468271564
2001-12-31,27.91000011563301,35.986485582364594
2002-03-31,21.36083345413208,27.978957881004906
2002-06-30,21.64312493801117,30.711911535880986
2002-09-30,35.06843748688698,37.595746427158325
2002-12-31,30.726718693971634,33.40022089151341
2003-03-31,30.022622937061747,28.781443276321735
2003-06-30,21.531269769819957,24.770572409229548
2003-09-30,19.32015624642372,21.28630906098881
2003-12-31,17.427187502384186,21.383486003016344
2004-03-31,16.658064503823557,37.41484522560171
2004-06-30,16.230161297705866,32.413343006936294
2004-09-30,15.442187443375587,22.161191198570755
2004-12-31,13.651250019669533,18.52692533355232
2005-03-31,12.787049199714035,26.266597649999856
2005-06-30,13.407343715429306,27.120304694359653
2005-09-30,12.250781282782555,21.795023586411126
2005-12-31,12.781746031746032,24.404824579512884
2006-03-31,12.042419341302686,22.78544967332305
2006-06-30,14.528730119977679,31.590649411633738
2006-09-30,13.607936465550983,22.458014211866395
2006-12-31,11.034920647030784,17.691737398340994
2007-03-31,12.56360655925313,29.409788057716945
2007-06-30,13.731904726179819,17.72895588130727
2007-09-30,21.589206256563703,30.053137641200493
2007-12-31,22.029843717813492,31.331010479072326
2008-03-31,26.120164089515562,37.472651709069616
2008-06-30,20.67296865582466,27.45334083597493
2008-09-30,25.073281168937683,49.89526419070153
2008-12-31,58.59593743085861,79.63896869565576
2009-03-31,45.00000006253602,42.46046535198795
2009-06-30,33.01571428208124,32.46918839285431
2009-09-30,25.486250042915344,19.698729563596764
2009-12-31,23.070156276226044,27.56119678194411
2010-03-31,20.149672086121605,19.70899187070109
2010-06-30,26.39142858414423,25.9134118995108
2010-09-30,24.283593624830246,17.232055294117796
2010-12-31,19.31843753159046,17.44958385040183
2011-03-31,18.61483860015869,17.01249858041698
2011-06-30,17.48238103351896,15.486950739005437
2011-09-30,30.583593621850014,34.59502382086257
2011-12-31,29.939523818000914,26.67200024115342
2012-03-31,18.204032267293623,19.69200522226059
2012-06-30,20.035714210025848,24.8225390483052
2012-09-30,16.192698403010294,24.01299957790895
2012-12-31,16.75290323072864,17.367263341129004
2013-03-31,13.527000029881796,16.234076679867957
2013-06-30,14.837031200528145,22.493102097640936
2013-09-30,14.279687568545341,23.977831539062457
2013-12-31,14.232812464237213,17.56202670507303
2014-03-31,14.828852528431376,20.72142126194464
2014-06-30,12.738253971887014,18.82169575961124
2014-09-30,13.074375003576279,21.394425558529523
2014-12-31,16.063750088214874,36.31383519316747
2015-03-31,16.56475407959985,24.01652455934558
2015-06-30,13.740158762250628,19.017175740917413
2015-09-30,19.307343780994415,23.500901699640256
2015-12-31,17.033281311392784,26.203136145966972
2016-03-31,20.486229490061277,34.678728429991544
2016-06-30,15.675937503576279,27.091037956760715
2016-09-30,13.233906269073486,18.6502756193865
2016-12-31,14.09793646373446,24.53015452225348
2017-03-31,11.691935508481917,19.43785187416739
2017-06-30,11.426349231175013,25.17767497724419
2017-09-30,10.944285695514981,12.086047881642719
2017-12-31,10.307936501881432,18.24328860758209
2018-03-31,17.354754135256908,18.946763740173854
2018-06-30,15.337500035762787,22.810174953037517
2018-09-30,12.856825404696995,20.611319645500277
2018-12-31,21.05365064409044,25.683869753515033
2019-03-31,16.4699999387147,22.223096128277795
2019-06-30,15.183015777951194,17.712142128568072
2019-09-30,15.960156202316284,17.150268918091477
2019-12-31,13.985781237483025,14.72527134450928
2020-03-31,31.22451622255387,76.8462291705785
2020-06-30,34.49365086025662,35.71368848817416
2020-09-30,25.80890628695488,21.865446228955072
2020-12-31,25.62171870470047,22.224465506847864
2021-03-31,23.202458960111024,25.150407951036563
2021-06-30,17.999999969724623,13.80074458401147
2021-09-30,18.28906251490116,21.178274213363554
2021-12-31,19.274375021457672,22.5060367967189
2022-03-31,25.37290327010616,17.536639184082432
2022-06-30,27.353709836159982,19.50747431479865
2022-09-30,24.731250047683716,19.694758890962515
2022-12-31,25.07539691622295,26.20250348653721
2023-03-31,20.6945161819458,20.159856953291477
2023-06-30,16.46112900395547,17.598364135372684
2023-09-30,15.05301583002484,15.414445894049328
2023-12-31,15.325714308118064,14.958565250487844
2024-03-31,13.703770512440165,12.192774277119886
2024-06-30,14.029841180831667,11.677587461316161
2024-09-30,17.165468707680702,11.52026502935144
2024-12-31,17.41734381020069,15.814395241112896
2025-03-31,18.626333491007486,16.914295872269804
2025-06-30,23.632096875098444,15.654077966621067
2025-09-30,15.957499966025352,13.157712744948935
2025-12-31,17.798095309545122,15.24855588283431
