Date,deuda_pib,pb_pib,es_interpolado
1996-03-31,31.343755691050625,-1.2862471094931056,1
1996-06-30,31.6714870609425,-1.525744192844386,1
1996-09-30,31.679949688598395,-1.4102722011221334,1
1996-12-31,31.369143773076992,-0.9398312596326442,1
1997-03-31,30.73906962586101,-0.1144213438579781,1
1997-06-30,30.461812702606693,0.4814613100690238,1
1997-09-30,30.537373115295804,0.8478166027773192,1
1997-12-31,30.96575084060415,0.9846446778944281,1
1998-03-31,31.746945594185593,0.8919455842667263,1
1998-06-30,32.587181029665196,0.7180378312518643,1
1998-09-30,33.486457032458496,0.4629214329529312,1
1998-12-31,34.44477376710002,0.12659639841127093,1
1999-03-31,35.46213137751454,-0.2909373607104664,1
1999-06-30,36.75720699956186,-0.38646376287174394,1
1999-09-30,38.33000052352176,-0.15998266876735537,1
1999-12-31,40.18051184567048,0.3885059868632813,1
2000-03-31,42.30874095395574,1.2590022154507923,1
2000-06-30,42.05087237802798,1.6781634350285646,1
2000-09-30,39.406906311857156,1.6459895949933026,1
2000-12-31,34.37684249284411,1.1624806647517796,1
2001-03-31,26.960680917560843,0.22763641313547744,1
2001-06-30,31.80261478088051,-0.210423193412576,1
2001-09-30,48.902644044870456,-0.1516981406402005,1
2001-12-31,78.26076881913912,0.4038116042090696,1
2002-03-31,119.87698925130414,1.4561061543610314,1
2002-06-30,146.2144649762493,2.3494443649596395,1
2002-09-30,157.27319583852184,3.0838262456870114,1
2002-12-31,153.05318182709047,3.65925166392,1
2003-03-31,133.55442287129165,4.075720623136767,1
2003-06-30,120.39972511982997,4.008029911429209,1
2003-09-30,113.589088599292,3.4561795977073215,1
2003-12-31,113.1225136059729,2.420169618350145,1
