Date,deuda_pib,pb_pib,PIB_real,TCRM,EMBI,VIX,CER,es_interpolado,es_interpolado_tcrm,g_gap
1996-03-31,31.343755691050625,-1.2862471094931056,90.36129065146712,1.3312855812038098,705.48,,,1,1,-5.80960787908469
1996-06-30,31.6714870609425,-1.525744192844386,90.9704068377347,1.3106185035248878,644.52,,,1,1,-5.489960519837806
1996-09-30,31.679949688598395,-1.4102722011221334,92.18863916265016,1.2902722646695943,618.39,,,1,1,-4.538268808481025
1996-12-31,31.369143773076992,-0.9398312596326442,94.01598773535592,1.2702418838877547,548.71,,,1,1,-2.9538277586935053
1997-03-31,30.73906962586101,-0.1144213438579781,96.45245241347529,1.2195511099830325,452.9,,,1,0,-0.73238769843335
1997-06-30,30.461812702606693,0.4814613100690238,98.57673401559384,1.2178601462980565,374.52,,,1,0,1.1879425686783442
1997-09-30,30.537373115295804,0.8478166027773192,100.38883245380336,1.1984698061171335,357.1,,,1,0,2.823743254887102
1997-12-31,30.96575084060415,0.984644677894428,101.88874777969922,1.2042508834401169,540.0,,,1,0,4.190776235425733
1998-03-31,31.746945594185597,0.8919455842667263,103.07648001125288,1.180468125158087,540.0,,,1,0,5.302622797396304
1998-06-30,32.5871810296652,0.7180378312518643,103.56142322881232,1.1835751627479232,560.0,,,1,0,5.77056362609241
1998-09-30,33.486457032458496,0.4629214329529312,103.34357757083446,1.176173022432619,980.0,,,1,0,5.59988818701407
1998-12-31,34.44477376710002,0.1265963984112709,102.4229429848497,1.197223660057199,718.13,,,1,0,4.78924351278075
1999-03-31,35.46213137751454,-0.2909373607104664,100.79951943260288,1.056781050034774,756.73,,,1,0,3.330753034424552
1999-06-30,36.75720699956186,-0.3864637628717439,99.6686095647518,1.0659462647838902,683.28,,,1,0,2.4393423165762402
1999-09-30,38.33000052352176,-0.1599826687673553,99.03021343833602,1.046072212815928,806.27,,,1,0,2.1088813725297135
1999-12-31,40.18051184567048,0.3885059868632813,98.88433095100322,1.047881690165671,618.95,,,1,0,2.333734296681491
2000-03-31,42.30874095395574,1.2590022154507925,99.23096216782646,1.0622753751542184,550.92,,,1,0,3.108409926280218
2000-06-30,42.05087237802798,1.6781634350285646,99.31630580276332,1.0599707357109849,650.02,,,1,0,3.640121328177427
2000-09-30,39.40690631185716,1.6459895949933026,99.1403618119254,1.055827364585425,670.16,,,1,0,3.9103494979193
2000-12-31,34.37684249284411,1.1624806647517796,98.70313023724523,1.034249348388241,807.39,,,1,0,3.8975114396741386
2001-03-31,26.960680917560843,0.2276364131354774,98.00461104695783,1.0518657881238702,750.27,,,1,0,3.577181450226109
2001-06-30,31.80261478088051,-0.210423193412576,96.37867654940251,0.9994173633562384,973.44,,,1,0,2.2162248367038475
2001-09-30,48.902644044870456,-0.1516981406402005,93.82532669974591,0.9821683645558212,1468.94,,,1,0,-0.21901125679554106
2001-12-31,78.26076881913912,0.4038116042090696,90.34456152276488,0.9813728008221698,2947.64,,,1,0,-3.757011929192533
2002-03-31,119.87698925130414,1.4561061543610314,85.93638102430508,1.9664369352614763,4433.59,,,1,0,-8.416334592878782
2002-06-30,146.2144649762493,2.3494443649596395,83.52764438475698,2.7588469133883664,5461.48,,,1,0,-11.084901958974967
2002-09-30,157.27319583852184,3.083826245687012,83.1183515798902,2.605029704198102,6658.98,,,1,0,-11.773528982816453
2002-12-31,153.05318182709047,3.65925166392,84.70850266566197,2.401720886490763,6285.2,,,1,0,-10.505902196368295
2003-03-31,133.55442287129165,4.075720623136767,88.2980975979895,2.212053067087966,6340.81,,,1,0,-7.320059838346732
2003-06-30,120.39972511982997,4.008029911429209,91.11194420610911,2.1362384284261435,5174.03,,,1,0,-5.157283120698427
2003-09-30,113.589088599292,3.456179597707321,93.15004259668378,2.176490717302208,4953.22,,,1,0,-3.9976204183713455
2003-12-31,113.1225136059729,2.420169618350145,94.41239266343791,2.2453687532616526,5800.85,,,1,0,-3.8080346201411084
2004-03-31,119.0,0.9,94.89899446195028,2.2978972338570167,5626.29,16.658064503823557,1.4627098901098905,0,0,-4.544993678388671
2004-06-30,112.0,1.1,106.03578013126592,2.210923054270228,4864.85,16.230161297705866,1.481654945054945,0,0,5.176433063601595
2004-09-30,108.0,1.2,99.18303625571838,2.289888925546041,5214.98,15.442187443375587,1.5104597826086958,0,0,-3.0765632184811493
2004-12-31,102.0,1.3,99.88218915106556,2.361003487901665,5172.65,13.651250019669533,1.5311021739130437,0,0,-3.9098362019822837
2005-03-31,78.0,1.2,101.7495505099361,2.3443029352696843,5042.18,12.787049199714035,1.5584288888888886,0,0,-3.6882720661918036
