Date,PIB_real,es_interpolado
1996-03-31,90.36129065146712,1
1996-06-30,90.9704068377347,1
1996-09-30,92.18863916265015,1
1996-12-31,94.01598773535592,1
1997-03-31,96.45245241347527,1
1997-06-30,98.57673401559383,1
1997-09-30,100.38883245380335,1
1997-12-31,101.88874777969922,1
1998-03-31,103.07648001125287,1
1998-06-30,103.56142322881233,1
1998-09-30,103.34357757083446,1
1998-12-31,102.4229429848497,1
1999-03-31,100.79951943260289,1
1999-06-30,99.66860956475179,1
1999-09-30,99.03021343833602,1
1999-12-31,98.88433095100322,1
2000-03-31,99.23096216782646,1
2000-06-30,99.31630580276332,1
2000-09-30,99.14036181192539,1
2000-12-31,98.70313023724525,1
2001-03-31,98.00461104695785,1
2001-06-30,96.37867654940253,1
2001-09-30,93.82532669974593,1
2001-12-31,90.34456152276488,1
2002-03-31,85.93638102430508,1
2002-06-30,83.52764438475698,1
2002-09-30,83.1183515798902,1
2002-12-31,84.70850266566197,1
2003-03-31,88.2980975979895,1
2003-06-30,91.11194420610913,1
2003-09-30,93.15004259668378,1
2003-12-31,94.41239266343791,1
