Date,VIX,EMBI,CER,TCRM,PIB_real,pb_pib,deuda_pib,g_gap,EMBI_BRASIL,pasivos_bcra_ars,pib_nominal_trim,pasivos_bcra_pib,pib_nominal_es_extrapolado,deuda_consolidada_pib
2004-03-31,16.658064503823557,5626.29359375,1.4627098901098905,2.2978972338570167,94.89899446195028,0.9,119.0,-4.462770373570129,,11205.0,411302.7354074256,2.724270722124088,1,121.72427072212409
2004-06-30,16.230161297705866,4864.85140625,1.481654945054945,2.210923054270228,106.03578013126592,1.1,112.0,4.708903605896053,,13774.0,465260.17300987424,2.960494106102581,1,114.96049410610259
2004-09-30,15.442187443375587,5214.980454545454,1.5104597826086958,2.289888925546041,99.18303625571838,1.2,108.0,-3.8921163233592857,,17190.0,466097.5967142914,3.688068790995532,1,111.68806879099553
2004-12-31,13.651250019669533,5172.653181818182,1.5311021739130437,2.361003487901665,99.88218915106556,1.3,102.0,-4.991382788309579,,19618.0,487486.1572210001,4.024319400541716,1,106.02431940054171
2005-03-31,12.787049199714035,5042.181746031746,1.5584288888888886,2.3443029352696843,101.7495505099361,1.2,78.0,-4.955524729307179,,21267.0,514489.0349943901,4.133615792265018,1,82.13361579226502
2005-06-30,13.407343715429306,5009.506153846154,1.6107208791208791,2.3112122994687647,119.90311901736838,1.5,72.0,10.033862532162942,,29245.0,581983.1399761013,5.025059660869372,1,77.02505966086937
2005-09-30,12.250781282782556,414.18666666666667,1.6487869565217392,2.312854553002313,106.0980555940946,1.4,69.0,-4.299404074522447,,33510.0,583030.6538301978,5.747553714347149,1,74.74755371434715
2005-12-31,12.781746031746032,423.45454545454544,1.691214130434783,2.367604631105472,107.655914556259,1.6,65.0,-4.508256050209463,,33283.0,609785.1071992356,5.458152323999841,1,70.45815232399984
2006-03-31,12.042419341302686,396.88153846153847,1.7465,2.410134996583217,109.7364537902141,1.5,63.0,-4.232142756803948,,30760.0,643562.3795870332,4.77964545095665,0,67.77964545095665
2006-06-30,14.52873011997768,353.81125000000003,1.794578021978022,2.3986704130240653,126.58362357570458,1.7,61.0,8.750057771800288,,36704.0,727989.1872654529,5.041833126378058,0,66.04183312637805
2006-09-30,13.607936465550983,339.264,1.829513043478261,2.3977141376933084,116.05057338750493,1.6,59.0,-1.7898371812282683,,40767.0,729299.4980062835,5.5898845551719765,0,64.58988455517198
2006-12-31,11.034920647030784,282.686,1.8684630434782608,2.3630845504134874,118.07382087608066,1.8,57.0,-1.507990403944615,,41049.0,762766.0220788831,5.381597870356479,0,62.38159787035648
2007-03-31,12.56360655925313,210.224375,1.9175533333333328,2.358784382847069,118.90925936757442,1.4,56.0,-2.165075480598007,,54197.0,774387.787840087,6.998689913636889,0,62.99868991363689
2007-06-30,13.73190472617982,268.47640625,1.9580032967032968,2.3397686446228136,139.0639933922362,1.2,55.0,12.935782186553876,,64159.0,904350.3880960032,7.0944847090825895,0,62.09448470908259
2007-09-30,21.589206256563703,414.1538461538461,1.989080434782609,2.2764715954183736,125.8310809570102,1.1,53.0,0.9419315538440376,,60960.0,914103.9674010072,6.66882566687926,0,59.66882566687926
2007-12-31,22.02984371781349,387.7846153846154,2.027544565217392,2.295504088224543,129.0161334974014,1.0,52.0,2.307686779583505,51.52167570590973,52832.0,995078.5529521112,5.30932958440946,0,57.30932958440946
2008-03-31,26.12016408951556,481.671875,2.078652747252747,2.301409161657998,127.1286414358048,0.8,52.0,-0.2791223900699083,51.23376293846818,63219.0,1032356.8732563646,6.123754453301427,0,58.12375445330143
2008-06-30,20.67296865582466,556.723076923077,2.1299428571428574,2.2072385433010058,146.6467155605454,0.6,51.0,13.859806964227053,50.78636693954468,53593.0,1213883.4109900985,4.41500390521748,0,55.41500390521748
2008-09-30,25.073281168937683,695.2727272727273,2.1709815217391304,2.0610542551570306,133.3885159930425,0.4,50.0,2.5722718114549994,51.64713472127914,60601.0,1183692.2697100418,5.119658339480824,0,55.11965833948082
2008-12-31,58.59593743085861,1696.5555555555557,2.2013891304347823,1.8536742765888,126.4629159764191,0.2,49.0,-3.6412104205611153,58.26700991392136,45228.0,1168651.8083786804,3.870100544553702,0,52.8701005445537
2009-03-31,45.00000006253602,1696.857142857143,2.227928888888889,1.9186525640879084,119.26096109941808,-0.5,51.0,-9.928632556685113,56.16737651238676,51847.0,1112307.4883229537,4.661211089945161,0,55.66121108994516
2009-06-30,33.01571428208124,1454.265625,2.2599615384615386,2.0611830409138747,130.11296246690188,-0.6,52.0,-2.576117026150189,52.11780458594125,46766.0,1251464.7279373782,3.736901165171322,0,55.736901165171325
2009-09-30,25.486250042915344,923.7121212121212,2.289744565217392,2.176891976556062,125.85049090289608,-0.4,51.0,-6.559988608442012,49.0275057554245,52063.0,1269734.7452694154,4.100305216815434,0,55.100305216815435
2009-12-31,23.070156276226044,716.6,2.3405239130434783,2.1589797718810666,126.81953915618163,-0.3,50.0,-6.618246303751827,46.210285663604736,51823.0,1358210.114173964,3.8155363046694513,0,53.81553630466945
2010-03-31,20.149672086121605,734.3709677419355,2.403571111111111,1.9790048619370249,126.07466074724418,0.2,49.0,-7.918506458335759,45.70424012082522,58764.0,1418857.949965618,4.141640817632517,0,53.14164081763252
2010-06-30,26.39142858414423,734.859375,2.48192967032967,1.8658731796247991,151.24877167717037,0.3,47.0,9.597187578194369,44.666244338429166,71123.0,1686066.9544585086,4.21827850975477,0,51.21827850975477
2010-09-30,24.28359362483025,712.5757575757576,2.541544565217392,1.8512494762301148,137.81603134583528,0.1,46.0,-0.8920321183707888,41.46777772903442,79003.0,1712834.5489362031,4.612412801287007,0,50.61241280128701
2010-12-31,19.31843753159046,545.1212121212121,2.6002804347826087,1.8301367032357423,137.73843910112078,0.0,44.0,-1.6621806772011922,40.06248563528061,84893.0,1829124.2504156013,4.641182794482725,0,48.641182794482724
2011-03-31,18.61483860015869,531.296875,2.661471111111112,1.8185058372961973,136.52954855206585,0.1,43.0,-3.189380392030814,41.36279810244037,102117.0,1888827.151847858,5.406370821178526,0,48.40637082117853
2011-06-30,17.48238103351896,574.3125,2.724652747252747,1.8270565426967944,157.96927454429692,-0.2,42.0,11.300563762309771,39.79438674071479,98316.0,2237123.83541306,4.3947500108704105,0,46.39475001087041
2011-09-30,30.583593621850014,730.4848484848485,2.7877695652173915,1.7614619290333369,146.64916682881935,-0.3,41.0,2.721531849566789,38.428466856479645,88121.0,2250487.2637924296,3.9156409110932735,0,44.91564091109328
2011-12-31,29.939523818000914,909.9076923076924,2.8536380434782616,1.6258533028906264,144.92443513523605,-0.5,40.0,0.9740807469388169,38.12382690301017,79441.0,2339658.163473388,3.395410545020141,0,43.39541054502014
2012-03-31,18.204032267293623,833.9384615384615,2.917010989010989,1.612000239325684,138.66520782643724,-0.7,42.0,-3.850958404644764,36.09250582033588,98552.0,2345559.60335098,4.201641256918129,0,46.20164125691813
2012-06-30,20.035714210025848,1065.359375,2.9916329670329667,1.4919785196651203,150.65252125980354,-0.8,43.0,4.010477359105933,34.806493378820875,101357.0,2651098.0463855537,3.82320827923312,0,46.82320827923312
2012-09-30,16.192698403010294,1020.5692307692308,3.063858695652174,1.4548591782014968,145.0091977083871,-1.0,43.0,-0.2677383942931001,31.032708862471203,100833.0,2704827.5498528937,3.727890157192608,0,46.72789015719261
2012-12-31,16.75290323072864,1039.4923076923078,3.143127173913044,1.4632992155916589,145.72993096652286,-1.2,44.0,-0.1067612626433557,28.763130707125512,94470.0,2850170.1932668164,3.314538907998336,0,47.31453890799833
2013-03-31,13.527000029881796,1124.016129032258,3.2339211111111106,1.4865891895755103,139.5721131524547,-1.4,44.0,-4.6032239844944725,29.42901604175568,103333.0,2888980.8590707183,3.576797668131264,0,47.57679766813126
2013-06-30,14.837031200528145,1199.3538461538462,3.307831868131868,1.4571787714394568,160.06231313144914,-1.6,45.0,9.135409954013811,30.28671193122864,112234.0,3387810.912052487,3.312876748838489,0,48.31287674883849
2013-09-30,14.27968756854534,1093.439393939394,3.385197826086956,1.411423855081577,148.7190983389643,-1.5,45.0,1.2010092792089648,34.06136745214462,124538.0,3436546.5463808645,3.6239287994267055,0,48.62392879942671
2013-12-31,14.232812464237211,851.9692307692308,3.473929347826086,1.445402850196392,145.65557871712397,-1.8,46.0,-1.0380378671564705,32.94891828298569,100613.0,3679895.635407356,2.734126452715618,0,48.73412645271562
2014-03-31,14.828852528431376,926.6666666666666,3.63618888888889,1.614036023523335,138.3312774504257,-2.0,47.0,-6.126086044634133,32.41668079915594,157852.0,3917648.8611727264,4.029253401560545,0,51.029253401560545
