Date,deuda_pib,pb_pib,PIB_real,TCRM,EMBI,VIX,CER,es_interpolado,g_gap
1999-03-31,35.46213137751454,-0.2909373607104664,100.79951943260288,1.056781050034774,756.728813559322,,,1,3.0880701064091585
1999-06-30,36.75720699956186,-0.3864637628717439,99.6686095647518,1.0659462647838902,683.28125,,,1,2.4915455048295914
1999-09-30,38.33000052352176,-0.1599826687673553,99.03021343833602,1.046072212815928,806.2727272727273,,,1,2.3956928198256096
1999-12-31,40.18051184567048,0.3885059868632813,98.88433095100322,1.047881690165671,618.9545454545455,,,1,2.805196404123344
2000-03-31,42.30874095395574,1.2590022154507925,99.23096216782646,1.0622753751542184,550.9206349206349,,,1,3.7230842601713348
2000-06-30,42.05087237802798,1.6781634350285646,99.31630580276332,1.0599707357109849,650.015625,,,1,4.358059222126678
2000-09-30,39.40690631185716,1.6459895949933026,99.1403618119254,1.055827364585425,670.15625,,,1,4.695612433761749
2000-12-31,34.37684249284411,1.1624806647517796,98.70313023724523,1.034249348388241,807.390625,,,1,4.718358353313215
2001-03-31,26.960680917560843,0.2276364131354774,98.00461104695783,1.0518657881238702,750.265625,,,1,4.406139435205279
2001-06-30,31.80261478088051,-0.210423193412576,96.37867654940251,0.9994173633562384,973.4375,,,1,3.024487123974183
2001-09-30,48.902644044870456,-0.1516981406402005,93.82532669974591,0.9821683645558212,1468.9384615384615,,,1,0.5444214739305923
2001-12-31,78.26076881913912,0.4038116042090696,90.34456152276488,0.9813728008221698,2947.6363636363635,,,1,-3.0574154943443776
2002-03-31,119.87698925130414,1.4561061543610314,85.93638102430508,1.9664369352614763,4433.587301587301,,,1,-7.794245037360074
2002-06-30,146.2144649762493,2.3494443649596395,83.52764438475698,2.7588469133883664,5461.476923076923,,,1,-10.529205905870956
2002-09-30,157.27319583852184,3.083826245687012,83.1183515798902,2.605029704198102,6658.984848484848,,,1,-11.273669492809619
2002-12-31,153.05318182709047,3.65925166392,84.70850266566197,2.401720886490763,6285.2,,,1,-10.052847776922132
2003-03-31,133.55442287129165,4.075720623136767,88.2980975979895,2.212053067087966,6340.806451612903,,,1,-6.90680281628134
2003-06-30,120.39972511982997,4.008029911429209,91.11194420610911,2.1362384284261435,5174.03265625,,,1,-4.79014097280311
2003-09-30,113.589088599292,3.456179597707321,93.15004259668378,2.176490717302208,4953.217121212121,,,1,-3.679753014611506
2003-12-31,113.1225136059729,2.420169618350145,94.41239266343791,2.2453687532616526,5800.853230769231,,,1,-3.539847551115284
2004-03-31,119.0,0.9,94.89899446195028,2.2978972338570167,5626.29359375,16.658064503823557,1.4627098901098905,0,-4.3246565438758
2004-06-30,112.0,1.1,106.03578013126592,2.210923054270228,4864.85140625,16.230161297705866,1.481654945054945,0,5.373680356860825
2004-09-30,108.0,1.2,99.18303625571838,2.289888925546041,5214.980454545454,15.442187443375587,1.5104597826086958,0,-2.932066503012529
