Date,TCRM
1997-03-31,1.2195511099830323
1997-06-30,1.2178601462980565
1997-09-30,1.1984698061171335
1997-12-31,1.2042508834401169
1998-03-31,1.180468125158087
1998-06-30,1.1835751627479232
1998-09-30,1.176173022432619
1998-12-31,1.197223660057199
1999-03-31,1.056781050034774
1999-06-30,1.0659462647838902
1999-09-30,1.046072212815928
1999-12-31,1.0478816901656707
2000-03-31,1.0622753751542184
2000-06-30,1.0599707357109847
2000-09-30,1.055827364585425
2000-12-31,1.0342493483882407
2001-03-31,1.0518657881238702
2001-06-30,0.9994173633562383
2001-09-30,0.9821683645558213
2001-12-31,0.9813728008221698
2002-03-31,1.9664369352614763
2002-06-30,2.7588469133883664
2002-09-30,2.605029704198102
2002-12-31,2.401720886490763
2003-03-31,2.212053067087966
2003-06-30,2.1362384284261435
2003-09-30,2.1764907173022077
2003-12-31,2.2453687532616526
2004-03-31,2.2978972338570167
2004-06-30,2.210923054270228
2004-09-30,2.289888925546041
2004-12-31,2.361003487901665
2005-03-31,2.3443029352696843
2005-06-30,2.3112122994687647
2005-09-30,2.3128545530023135
2005-12-31,2.367604631105472
2006-03-31,2.4101349965832175
2006-06-30,2.3986704130240653
2006-09-30,2.3977141376933084
2006-12-31,2.3630845504134874
2007-03-31,2.358784382847069
2007-06-30,2.3397686446228136
2007-09-30,2.2764715954183736
2007-12-31,2.295504088224543
2008-03-31,2.301409161657998
2008-06-30,2.2072385433010058
2008-09-30,2.0610542551570306
2008-12-31,1.8536742765887995
2009-03-31,1.9186525640879084
2009-06-30,2.0611830409138747
2009-09-30,2.176891976556062
2009-12-31,2.1589797718810666
2010-03-31,1.9790048619370249
2010-06-30,1.8658731796247991
2010-09-30,1.8512494762301148
2010-12-31,1.8301367032357423
2011-03-31,1.8185058372961975
2011-06-30,1.8270565426967942
2011-09-30,1.7614619290333369
2011-12-31,1.6258533028906264
2012-03-31,1.612000239325684
2012-06-30,1.4919785196651203
2012-09-30,1.4548591782014968
2012-12-31,1.4632992155916587
2013-03-31,1.4865891895755103
2013-06-30,1.4571787714394568
2013-09-30,1.411423855081577
2013-12-31,1.445402850196392
2014-03-31,1.614036023523335
2014-06-30,1.5886220806838998
2014-09-30,1.5183242618609867
2014-12-31,1.3870568124100753
2015-03-31,1.273852960406217
2015-06-30,1.2221448734407152
2015-09-30,1.1452149753593002
2015-12-31,1.1396293304240592
2016-03-31,1.4518897388370136
2016-06-30,1.3378750451837342
2016-09-30,1.3410073047054523
2016-12-31,1.3035079592363061
2017-03-31,1.2801729693748765
2017-06-30,1.2177208433131312
2017-09-30,1.320715270327556
2017-12-31,1.2694268513449833
2018-03-31,1.371981215652985
2018-06-30,1.4581789033867611
2018-09-30,1.7310432841395202
2018-12-31,1.755457677842122
2019-03-31,1.6972825521001902
2019-06-30,1.7049304082951673
2019-09-30,1.772075513690704
2019-12-31,1.8303036520260345
2020-03-31,1.7046698344753188
2020-06-30,1.635992519909257
2020-09-30,1.7163112385945183
2020-12-31,1.7378229054468883
2021-03-31,1.7537403255909882
2021-06-30,1.6902525863260462
2021-09-30,1.6169416858715697
2021-12-31,1.4992487217740846
2022-03-31,1.472410247855901
2022-06-30,1.4094702604334535
2022-09-30,1.3139509160373948
2022-12-31,1.308457406668821
2023-03-31,1.365424751505144
2023-06-30,1.3525589529529698
2023-09-30,1.4513685569389796
2023-12-31,1.4338262999715743
2024-03-31,1.7068957611045297
2024-06-30,1.3502703293874927
2024-09-30,1.2573995976340693
2024-12-31,1.1827917666524113
2025-03-31,1.1618868343319555
2025-06-30,1.215415273291191
2025-09-30,1.3770671830986991
2025-12-31,1.3946679687374701
