Date,EMBI
1998-12-31,718.1333333333333
1999-03-31,756.728813559322
1999-06-30,683.28125
1999-09-30,806.2727272727273
1999-12-31,618.9545454545455
2000-03-31,550.9206349206349
2000-06-30,650.015625
2000-09-30,670.15625
2000-12-31,807.390625
2001-03-31,750.265625
2001-06-30,973.4375
2001-09-30,1468.9384615384615
2001-12-31,2947.6363636363635
2002-03-31,4433.587301587301
2002-06-30,5461.476923076923
2002-09-30,6658.984848484848
2002-12-31,6285.2
2003-03-31,6340.806451612903
2003-06-30,5174.03265625
2003-09-30,4953.217121212121
2003-12-31,5800.853230769231
2004-03-31,5626.29359375
2004-06-30,4864.85140625
2004-09-30,5214.980454545454
2004-12-31,5172.653181818182
2005-03-31,5042.181746031746
2005-06-30,5009.506153846154
2005-09-30,414.18666666666667
2005-12-31,423.45454545454544
2006-03-31,396.88153846153847
2006-06-30,353.81125000000003
2006-09-30,339.264
2006-12-31,282.686
2007-03-31,210.224375
2007-06-30,268.47640625
2007-09-30,414.15384615384613
2007-12-31,387.7846153846154
2008-03-31,481.671875
2008-06-30,556.723076923077
2008-09-30,695.2727272727273
2008-12-31,1696.5555555555557
2009-03-31,1696.857142857143
2009-06-30,1454.265625
2009-09-30,923.7121212121212
2009-12-31,716.6
2010-03-31,734.3709677419355
2010-06-30,734.859375
2010-09-30,712.5757575757576
2010-12-31,545.1212121212121
2011-03-31,531.296875
2011-06-30,574.3125
2011-09-30,730.4848484848485
2011-12-31,909.9076923076923
2012-03-31,833.9384615384615
2012-06-30,1065.359375
2012-09-30,1020.5692307692308
2012-12-31,1039.4923076923078
2013-03-31,1124.016129032258
2013-06-30,1199.3538461538462
2013-09-30,1093.439393939394
2013-12-31,851.9692307692308
2014-03-31,926.6666666666666
2014-06-30,783.65625
2014-09-30,710.3030303030303
2014-12-31,728.6307692307693
2015-03-31,668.5238095238095
2015-06-30,597.6461538461539
2015-09-30,585.2575757575758
2015-12-31,506.9846153846154
2016-03-31,468.6984126984127
2016-06-30,501.4769230769231
2016-09-30,482.3333333333333
2016-12-31,473.5692307692308
2017-03-31,457.6461538461538
2017-06-30,417.3125
2017-09-30,411.484375
2017-12-31,360.234375
2018-03-31,390.9193548387097
2018-06-30,470.0615384615385
2018-09-30,638.5538461538462
2018-12-31,692.1384615384616
2019-03-31,709.6031746031746
2019-06-30,883.109375
2019-09-30,1493.8333333333333
2019-12-31,2158.276923076923
2020-03-31,2460.5873015873017
2020-06-30,3103.0
2020-09-30,1996.8333333333333
2020-12-31,1391.8
2021-03-31,1492.1904761904761
2021-06-30,1547.515625
2021-09-30,1568.1060606060605
2021-12-31,1711.8030303030303
2022-03-31,1809.5714285714287
2022-06-30,1927.75
2022-09-30,2520.630769230769
2022-12-31,2443.1774193548385
2023-03-31,2080.6769230769232
2023-06-30,2465.476923076923
2023-09-30,2104.222222222222
2023-12-31,2257.753846153846
2024-03-31,1786.876923076923
2024-06-30,1340.123076923077
2024-09-30,1484.5454545454545
2024-12-31,870.3636363636364
2025-03-31,684.0
2025-06-30,726.7049180327868
2025-09-30,862.34375
2025-12-31,745.030303030303
2026-03-31,553.75
2026-06-30,512.2615384615384
2026-09-30,421.5357142857143
